last day voice use,last day data use
13.877350,10.302129
10.718697,10.076768
,15.360668
6.093570,4.997212
7.485492,12.902980
7.452402,8.139441
10.019358,13.180630
11.172855,8.289288
13.718207,14.048825
11.291992,10.314670
8.591001,7.590347
12.150391,11.439397
1.098612,9.730146
15.692921,8.775086
9.348971,11.824241
13.114607,13.774604
7.664347,13.486887
9.922064,10.676277
13.624929,10.484222
3.367296,7.177019
15.233021,11.732663
8.841159,9.686450
9.662180,9.764168
13.572294,13.006733
,
0.000000,7.680637
12.750801,13.417586
,11.203570
12.714371,11.572335
10.607154,3.951244
7.233455,13.478637
5.710427,7.207860
5.981414,12.702061
8.328934,12.502102
9.043695,13.260864
9.792668,10.570470
9.338382,4.700480
15.411061,7.744137
11.968164,7.197435
13.658241,14.820179
9.125654,13.627653
14.521789,15.696643
8.516393,3.218876
8.645059,11.796562
15.780427,12.796389
13.246282,12.092490
,
6.857514,
8.733272,6.165418
5.648974,13.619989
13.724856,14.269439
11.108305,12.402548
10.692036,9.808407
10.107856,8.461469
9.341895,13.109367
9.541513,0.000000
0.693147,10.662352
11.896595,10.764181
12.153737,7.176255
12.387131,9.355133
7.030857,1.945910
11.725307,15.852302
14.118802,16.043552
12.027980,10.399829
7.609862,14.677514
10.439133,9.905236
17.071984,14.124729
6.171701,10.338058
10.582333,12.116859
16.341027,14.640894
12.214745,3.044522
12.447237,8.829958
8.929568,14.128916
12.444077,8.451267
15.055603,8.465900
11.448014,10.845602
11.123904,11.930530
14.508534,13.341847
13.661848,10.512247
4.406719,12.127300
10.995847,8.263333
9.588160,11.130918
12.584139,7.539027
11.129510,12.061301
12.481482,8.700514
16.046992,16.327733
3.332205,
4.997212,16.134016
10.508841,9.943573
11.106535,2.772589
15.026327,12.371040
16.950627,11.383625
6.795706,12.126499
9.535029,
9.269458,7.240650
14.334825,5.996452
11.454311,14.915424
1.609438,9.432604
5.609472,5.365976
2.197225,13.229674
9.754465,10.871251
8.029433,12.837948
11.305668,13.226990
14.723359,10.242457
12.807776,10.955672
12.057167,13.322050
12.845099,11.817007
13.598999,12.837911
11.198831,14.718300
12.639672,11.923531
11.787370,16.627558
9.516869,10.492496
14.253230,10.497919
14.180406,13.523154
5.846439,14.622893
14.287369,8.262559
13.339360,15.393858
11.353965,9.127611
11.927073,10.854006
6.265301,
0.000000,16.385165
9.859640,12.556832
13.333695,14.434189
13.205594,8.571871
10.361007,11.224923
14.592628,8.932741
10.667676,
13.486775,8.873608
9.392329,10.224592
9.265302,14.333355
12.509261,3.828641
15.388212,3.044522
,12.354368
9.594718,9.554001
10.452476,6.079933
11.653166,4.110874
13.836216,11.126513
8.533067,9.393328
15.175473,12.605053
13.984837,8.493515
5.303305,13.159740
8.946114,8.806424
8.925454,14.354650
11.105844,13.343458
6.638568,3.850148
0.693147,15.066915
13.521082,
11.694889,10.916651
14.465191,13.750802
14.900654,1.791759
7.005789,7.796469
7.827241,10.540435
9.369649,8.381832
9.491677,13.271435
9.316411,15.807498
16.355130,7.358194
15.429723,15.318336
12.122191,13.422989
14.040773,12.239899
14.086360,5.723585
10.724148,2.397895
13.393829,9.768069
12.648763,9.650014
11.391977,5.899897
9.960199,6.598509
9.332115,15.178835
15.641233,15.585571
6.850126,12.794812
12.474423,16.893018
11.552781,8.793309
13.890349,14.986502
9.414586,2.079442
11.445759,13.260869
13.909247,7.281386
10.100246,13.516283
8.077758,13.890985
8.118803,11.401390
6.727432,15.712315
12.631736,1.098612
8.794825,11.832818
15.316170,2.890372
10.957939,10.459898
14.768893,11.077918
11.122324,7.673688
12.039061,14.211577
8.190077,11.854371
7.831617,7.937375
12.581292,13.485989
13.463469,13.487127
3.218876,8.025189
9.890757,10.677454
13.105693,12.452120
10.717723,6.993015
6.152733,10.444124
8.971067,
10.102994,10.672808
7.313887,15.918254
11.160570,12.188982
0.693147,9.632925
13.236956,8.335671
7.545918,8.923325
9.933435,6.089045
7.602900,12.041493
2.484907,10.920926
8.273337,8.867991
15.162811,3.988984
11.438805,14.084698
7.942362,13.762921
6.148468,13.852945
14.745500,14.157765
15.204681,5.365976
15.624236,12.113744
14.756137,7.685244
8.713582,4.276666
13.213773,8.181441
10.793701,2.995732
12.638871,14.223988
13.901423,6.601230
11.811407,12.678155
6.359574,13.631204
9.843897,14.102799
13.473731,6.910751
12.032630,10.579590
13.232440,14.043042
8.077447,13.888855
3.135494,4.094345
15.268142,15.653035
13.903647,12.153194
17.603746,10.052511
12.363435,
10.949191,7.654443
6.517671,8.206311
14.389302,11.777480
12.514248,8.258940
,15.848156
4.290459,13.242327
12.934232,15.163138
12.381609,16.009366
0.693147,11.295466
9.997433,13.853262
4.844187,10.900049
9.150378,10.629441
10.794071,13.056405
12.881662,10.233367
14.073168,14.358635
14.435081,14.046644
6.965080,7.194437
6.886532,15.332411
15.788679,14.335012
15.006377,11.618942
,8.908830
10.434380,9.167120
9.939434,10.013418
11.866901,2.484907
3.433987,12.518322
15.775781,10.130424
10.828480,11.775444
10.504629,14.146328
13.393402,9.119978
14.222682,11.926160
6.617403,2.708050
7.658700,13.368454
10.779060,10.250476
6.472346,13.319753
5.749393,9.685580
10.773441,11.353695
15.993856,5.897154
13.393873,10.032276
13.511951,4.262680
12.149555,15.936157
14.758069,10.500729
13.976081,13.781227
14.669967,5.666427
12.142643,14.275863
9.058587,14.377810
,15.095305
12.004299,1.386294
4.465908,
14.289423,8.642592
15.488736,11.442836
6.216606,10.826833
8.910856,10.979582
10.250016,10.197127
11.196021,10.815851
10.734852,12.144942
11.706294,14.691335
11.708213,13.451559
13.497722,2.302585
11.010299,
5.556828,11.027443
10.203962,13.035262
11.123654,13.129923
7.754053,12.402289
8.689969,8.470730
10.388411,9.713779
8.508556,10.298262
12.994014,9.355825
11.521499,15.634475
13.251736,6.915723
13.225777,12.642742
13.520709,11.411966
4.330733,10.086809
10.679389,14.101420
5.501258,9.544309
13.920402,9.349145
11.821637,15.354407
