ID;upload_mb
1;11894
2;1233744
3;1701579
4;97631
5;6669
6;865430
7;52539
8;142273
9;505371
10;366
11;1431
12;325610
13;427
14;829
15;169750
16;58551
17;1951336
18;0
19;84132
20;5815358
21;334454
22;266483
23;60173
24;2118357
25;180753
26;1033
27;238387
28;104557
29;3015
30;91845
31;1494934
32;7
33;1365
34;108281
35;856756
36;2
37;101658
38;4390
39;19365
40;54972
41;137867
42;1167262
43;77382
44;2686073
45;6887
46;169
47;8275059
48;12421
49;156257
50;1083799
51;73479
52;38716
53;3024
54;38386
55;35
56;995547
57;104
58;94345
59;2083211
60;15369641
61;3450741
62;536765
63;227166
64;1124300
65;194399
66;47911
67;1139
68;5620
69;1792
70;34
71;124512
72;194
73;8502
74;606
75;90437
76;599
77;365208
78;1127963
79;52396
80;283
81;811455
82;185929
83;2392529
84;131594
85;29103
86;624325
87;861713
88;77083
89;13653
90;158
91;16975944
92;417992
93;1597
94;118
95;10508478
96;5569680
97;17497
98;723968
99;897
100;0
101;971466
102;1908950
103;44269
104;8
105;25325
106;7074
107;2186476
108;1202
109;2477338
110;653137
111;1798703
112;612
113;1137475
114;0
115;56318
116;2926562
117;392193
118;4194
119;3348257
120;692926
121;0
122;2
123;370644
124;13034099
125;37380
126;103454
127;87964
128;1187
129;4569
130;43537402
131;97035
132;3860
133;14727
134;20657
135;0
136;9811
137;2642596
138;433
139;6467752
140;294754
141;5848
142;4
143;114
144;1181453
145;128790
146;101569
147;6088
148;28535
149;12830
150;40837
151;1619114
152;12874
153;17467
154;50
155;323419
156;27
157;142215
158;753984
159;163833
160;365859
161;1358423
162;1088460
163;2364
164;3019556
165;497
166;182743
167;2532
168;313502
169;144077
170;11302
171;37952
172;13897826
173;4447
174;4505
175;733
176;2218787
177;1047196
178;483
179;1546829
180;2223715
181;2118
182;588071
183;3722
184;3096
185;296082
186;167
187;97127
188;30136
189;467
190;400372
191;675
192;123381
193;1502032
194;3
195;31497
196;37969
197;305014
198;28
199;36461
200;11622
201;544
202;396531
203;298
204;4606
205;18461257
206;0
207;9964
208;23560
209;20520
210;46418
211;507391
212;328
213;1174995
214;369066
215;837557
216;152141
217;18
218;513
219;17
220;40283
221;2394514
222;128404
223;162682
224;27657
225;375
226;31531
227;56415
228;44529
229;56227
230;27689
231;6142
232;833
233;34167
234;82497
235;3523
236;15348
237;307312
238;6424026
239;4190
240;5229
241;3982
242;1
243;0
244;125330
245;195
246;1943221
247;51790
248;3469418
249;1212150
250;147
251;7669742
252;926352
253;162799
254;150409
255;14101
256;458930
257;23025
258;1103
259;74295
260;74286
261;173
262;42432
263;1413
264;176537
265;1003769
266;19297
267;8
268;1
269;3418
270;25234
271;1396763
272;22986
273;9363
274;1081432
275;23122
276;4719
277;112562
278;34517
279;1603726
280;26061
281;197579
282;199514
283;29798
284;250217
285;0
286;4853666
287;72952
288;99865
289;19251
290;64273
291;569785
292;4311
293;6110
294;28
295;378791
296;3282120
297;17
298;297192
299;1939850
300;2533
301;5232195
302;10614
303;317944
304;639836
305;5283
306;4305961
307;0
308;232003
309;510
310;2263634
311;6218
312;471515
313;6563
314;241
315;3827
316;362859
317;33040
318;13759264
319;792
320;1369149
321;244206
322;7927
323;1457886
324;10326
325;1044638
326;225402
327;19096
328;5167772
329;127294
330;10067
331;30860
332;3129694
333;177741
334;718544
335;2659
336;14595
337;2462706
338;11715
339;92140
340;73792
341;16059094
342;320
343;1
344;16790
345;20
346;308
347;1858121
348;106915
349;6211
350;1348511
351;6860882
352;826201
353;20
354;583264
355;154884
356;1303028
357;30804
358;67
359;22114
360;71400
361;605
362;532786
363;674506
364;13238
365;3765
366;9
367;9203
368;208599
369;600989
370;48348
371;413
372;10904
373;1471
374;2703
375;478
376;54635
377;3508434
378;392242
379;13666493
380;11268704
381;2597
382;16374
383;6575
384;889686
385;5862038
386;347
387;95164
388;865083
389;1987034
390;320449
391;276723
392;61500
393;73150
394;2183190
395;930166
396;2628
397;128653
398;275
399;1
400;356
401;385
402;2340735
403;454466
404;7519212
405;6867058
406;16
407;476055
408;613728
409;838036
410;2249
411;110566
412;2770648
413;2076776
414;114326
415;1459
416;3895
417;32812
418;1921
419;882004
420;22582
421;6200286
422;1562
423;2406243
424;35
425;6899811
426;1197
427;170809
428;0
429;2714
430;738
431;763366
432;153330
433;54105
434;37683
435;331800
436;213
437;0
438;180184
439;891200
440;313285
441;5031
442;0
443;63222
444;121230
445;10466857
446;219151
447;28434
448;56
449;459535
450;18831
451;135
452;406248
453;6067
454;5482363
455;1423802
456;625508
457;48657
458;1
459;7
460;10694692
461;2429678
462;2421
463;8173418
464;370223
465;8628624
466;104953
467;215182
468;2391
469;9
470;2069915
471;0
472;6558
473;16944
474;1
475;1120
476;87371
477;15541
478;44997
479;396046
480;0
481;3507094
482;842762
483;4490
484;62071
485;5
486;43147981
487;1567
488;471904
489;206185
490;10068
491;0
492;264861
493;736353
494;90685
495;817604
496;5451
497;12877
498;4266
499;135350
500;319113
501;5804
502;4
503;135
504;5483343
505;445615
506;438987
507;1703459
508;3017346
509;5546
510;7955018
511;1404352
512;60733
513;63169
514;207053
515;132839
516;2
517;235338
518;346283
519;3121251
520;4398493
521;86106
522;1405
523;1257417
524;139643
525;11772808
526;319002
527;645540
528;3322491
529;340309
530;661
531;3653
532;9730
533;3745232
534;27650
535;149
536;1024976
537;460791
538;4944454
539;7149583
540;641557
541;147617
542;13294919
543;62780
544;3074
545;64601
546;1124
547;107700
548;192633
549;1387096
550;23183
551;349748
552;473058
553;32654
554;788
555;500083
556;183793
557;46884
558;2005
559;42417
560;398711
561;5178
562;254692
563;2972244
564;4282
565;6428233
566;168299
567;651783
568;29798
569;15875
570;40569928
571;3768
572;66052
573;1376512
574;2367
575;61
576;701432
577;40382
578;1040326
579;9144
580;1722037
581;16
582;9344
583;4816213
584;361747
585;7916
586;19081
587;72878
588;784729
589;213489
590;53
591;290580
592;51747
593;4201732
594;60987
595;18463551
596;328824
597;1100
598;364462
599;194022
600;154
601;16164
602;893
603;18231
604;279890
605;8211635
606;2797
607;44404
608;114698
609;57047
610;0
611;294261
612;311
613;152123
614;20444
615;92694
616;9041
617;2
618;48938
619;764751
620;138297
621;68710
622;2990879
623;22
624;3851333
625;2094
626;447328
627;6
628;481838
629;248868
630;54
631;4543
632;4558737
633;210
634;75
635;8885575
636;467955
637;131650
638;4485405
639;36899
640;131254
641;9727722
642;5323230
643;92336
644;454437
645;1229
646;1311202
647;0
648;1225
649;8132515
650;31965
651;15189
652;20477
653;1091798
654;8420427
655;293
656;3809
657;2680
658;1
659;2764006
660;15
661;9634162
662;4765767
663;57
664;2005348
665;2503858
666;2352657
667;129971
668;11
669;5
670;251123
671;79763
672;275119
673;0
674;1808547
675;103947
676;176432
677;87199
678;88600
679;364149
680;998915
681;3426
682;9601
683;9
684;531066
685;3311
686;2829
687;4718675
688;3167904
689;862526
690;990651
691;7141532
692;1583310
693;256582
694;4
695;327143
696;10186153
697;3592
698;12185
699;19
700;799
701;38376
702;77604
703;24731
704;93969
705;53
706;5999472
707;19
708;3327188
709;14445
710;1970
711;250187
712;0
713;6813
714;606931
715;383834
716;190237
717;76110
718;5370
719;53925
720;27660
721;76005
722;46880
723;95393
724;5314
725;571911
726;491908
727;1410
728;362952
729;365285
730;40381
731;182
732;2215196
733;399641
734;413889
735;1836
736;108044
737;55
738;1233
739;236
740;890228
741;77746
742;12670
743;17
744;51088
745;21463
746;32233
747;2781
748;68729
749;57247
750;5772
751;41661
752;1627828
753;15721
754;2848010
755;6117
756;5308542
757;260444
758;24913
759;7946265
760;463870
761;1670893
762;81771
763;18644
764;561746
765;3181493
766;28689
767;38267
768;132576
769;1370
770;63
771;4302881
772;250192
773;13898
774;11028
775;28534
776;22
777;438991
778;450667
779;337630
780;1150811
781;6796573
782;3451617
783;297871
784;338590
785;1787370
786;181383
787;6645
788;124
789;8263237
790;3169
791;9029
792;3518
793;20153
794;69188
795;290
796;796
797;2481578
798;2371007
799;26847401
800;557379
801;6497246
802;2118320
803;7553915
804;1151
805;1754691
806;32336
807;190637
808;167653
809;10506
810;3010211
811;1154
812;23413
813;3000157
814;236071
815;50
816;1552192
817;121058
818;15845
819;5515359
820;98
821;1928545
822;642219
823;0
824;22656
825;528011
826;5182708
827;22312
828;52728
829;270296
830;147767
831;25
832;349437
833;120185
834;538
835;1145282
836;10746
837;2976
838;43349
839;1104878
840;52
841;64
842;188745
843;1724
844;45261
845;2971
846;15334
847;662460
848;22868
849;3044462
850;65817
851;160081
852;49
853;55259
854;700752
855;11758
856;39141
857;76
858;65422
859;226479
860;1694128
861;1139193
862;50
863;295257
864;83757
865;443545
866;245233
867;1850750
868;6425
869;901
870;6248269
871;29705
872;4902678
873;121160
874;4163
875;13665
876;5981424
877;82922
878;6074
879;3779
880;366759
881;8
882;1475727
883;21059
884;63822
885;4817
886;140548
887;95
888;8009
889;5094938
890;68580
891;2999
892;7
893;1375
894;449849
895;30606
896;2136
897;22151
898;32790
899;42894
900;2712
901;52032
902;1078966
903;3838811
904;6
905;331
906;6647
907;491787
908;59019
909;2852759
910;110469
911;196918
912;837387
913;26295
914;796
915;57
916;4043919
917;14447
918;0
919;2004103
920;34250
921;958
922;149641
923;14786
924;16
925;104163
926;571
927;673438
928;1506676
929;15
930;12616
931;30
932;29676
933;167624
934;1385487
935;15693101
936;139037
937;70515
938;4375988
939;4814899
940;76377
941;0
942;2111
