voice day 1;voice day 2;voice day 3;voice day 4;voice day 5;voice day 6
1;2;1;5;0;4
3;7;2;4;2;5
2196;1619;1733;1719;2088;2398
11;21;11;9;21;4
33;59;96;78;26;58
794;655;768;602;621;704
66;34;48;38;144;78
131;92;97;27;44;90
219;231;141;276;245;117
40;22;31;7;15;32
0;0;0;0;0;0
7;12;18;14;20;51
6;8;3;4;4;4
1;7;1;1;4;0
69;89;76;32;49;51
77;112;128;145;134;116
4;3;3;2;2;4
477;876;426;504;613;487
359;234;290;165;230;133
16;49;84;49;17;28
71;90;50;60;143;41
271;275;188;122;112;195
22;41;30;37;26;58
893;482;465;836;671;981
11;3;11;18;28;8
20;51;41;86;46;42
26;184;5;87;34;14
0;0;1;2;0;1
2;1;0;1;0;0
2;2;13;4;0;0
2;55;92;6;15;1
5;33;2;29;0;0
429;311;158;352;199;287
0;0;0;0;3;0
11;0;0;1;0;8
0;6;3;3;0;16
1464;918;689;959;739;1090
0;1;0;1;1;1
122;99;99;145;33;60
1;0;0;0;0;0
2;0;0;0;0;1
0;0;18;10;4;1
1388;1343;1878;1217;1458;770
0;1;0;2;3;0
77;57;305;118;41;66
4;7;2;4;3;9
2;22;11;3;7;6
853;1005;1065;634;979;1263
5;18;27;10;34;23
22;13;36;8;19;58
4;4;12;1;4;27
72;65;64;7;23;30
219;7;21;89;205;13
830;556;865;458;931;794
50;12;45;34;31;25
4;1;4;1;5;2
0;4;2;1;1;1
6;3;16;7;15;16
4;25;6;60;0;7
5;8;19;5;6;13
5;24;20;5;12;69
58;97;138;167;77;131
38;64;58;34;73;85
15;22;14;10;20;4
111;136;171;48;104;72
8;22;16;29;15;29
1;0;0;0;0;0
9;14;16;29;2;5
3;10;38;1;0;10
5;8;4;0;8;3
47;39;33;26;40;57
285;257;187;114;342;309
37;51;106;163;57;25
38;2;0;12;19;83
1;2;2;2;1;1
34;12;19;21;45;40
7;15;22;30;4;36
32;32;9;14;43;32
26;338;76;147;145;81
1;19;0;9;1;12
1212;1434;819;1119;1086;1452
6;5;7;6;10;0
1;0;1;7;0;0
159;130;70;48;101;66
500;311;445;456;434;400
29;33;35;15;33;25
689;1321;990;1082;519;676
21;45;31;64;45;30
43;27;14;9;20;35
15;12;4;8;7;6
198;146;110;158;107;226
13;45;5;17;11;21
0;1;1;1;2;4
24;10;25;9;73;45
4;1;3;7;1;6
192;82;43;144;113;108
15;2;4;11;15;4
976;1064;879;1531;1205;1201
3;2;6;1;2;5
0;1;0;0;2;0
82;58;54;81;93;19
0;6;22;11;19;0
317;298;355;490;428;402
387;256;367;357;300;162
65;33;56;102;114;104
14;39;57;15;15;40
723;586;869;826;639;533
4;54;34;40;12;31
7;4;4;7;0;4
13;3;5;3;9;9
96;18;38;71;79;28
1;1;1;0;1;1
5;2;16;7;1;5
1;1;1;1;1;1
4;2;1;0;0;1
0;8;1;0;1;0
80;33;73;44;53;39
897;1051;653;944;999;848
0;2;4;11;0;2
1;3;2;3;3;2
3;54;31;17;37;32
4;1;10;6;3;6
116;87;94;110;19;117
64;37;19;17;43;29
2;1;1;2;3;2
0;1;2;0;0;1
79;40;58;85;93;282
5;4;5;7;9;5
3;5;6;12;0;1
3;1;1;7;2;2
46;111;119;124;99;73
4;12;5;6;5;4
229;217;254;594;187;149
0;22;23;7;10;39
7;17;14;1;4;8
0;11;0;3;2;8
46;133;12;103;113;129
0;0;1;0;1;1
268;225;178;241;220;64
20;43;5;22;28;10
0;3;0;0;1;0
4837;2446;3382;2569;3428;4008
300;249;351;296;305;251
22;16;20;40;93;13
5;302;5;4;12;2
35;58;61;106;56;16
1;0;0;3;0;2
1896;1911;1905;1898;1630;1727
28;7;16;18;29;29
162;100;188;218;146;218
0;0;0;1;0;1
48;40;89;26;33;27
3;2;4;3;2;2
48;61;81;77;28;52
2;22;8;14;9;6
6;0;6;12;6;0
24;27;47;99;3;23
15;27;51;22;37;53
776;440;594;811;315;844
2;2;2;2;3;1
363;268;157;176;137;329
2;6;0;4;3;1
90;232;201;146;96;218
23;5;26;5;7;3
97;97;78;89;71;97
3;28;2;1;0;34
411;307;323;133;478;401
6;10;10;3;4;4
1;3;1;6;7;5
8;27;5;6;24;42
675;892;760;608;922;972
107;152;97;98;83;139
1;1;1;1;1;1
0;19;3;2;1;12
355;142;196;515;313;293
15;16;5;30;40;7
7;3;7;1;1;16
4;8;9;22;7;5
17;13;25;26;39;10
8;26;18;31;55;1
0;0;0;1;0;0
59;314;294;241;256;277
440;721;440;279;499;501
8;20;11;5;14;7
458;131;478;68;132;173
11;9;0;2;4;1
53;54;81;43;148;36
303;120;109;124;70;105
109;124;70;37;73;58
54;7;70;48;59;42
1;1;0;0;1;1
91;88;156;39;79;157
13;4;33;3;5;3
43;28;33;15;19;6
42;93;509;79;114;90
669;390;545;411;396;545
5;18;29;16;10;24
421;233;526;302;297;319
1;1;1;1;1;1
364;309;190;319;275;250
1;1;3;2;3;2
10;8;5;13;13;3
1;1;1;1;1;1
12;2;2;20;0;0
486;582;456;462;593;282
40;80;30;24;54;69
3557;3051;3272;2975;3919;3484
0;0;1;1;0;0
5;2;4;6;1;6
2;1;1;2;2;1
72;46;30;36;58;18
1;1;1;1;1;1
18;10;16;10;21;14
0;2;14;0;10;0
0;0;1;3;0;5
1;1;1;1;1;1
