Credit rating;Age;Income level;Number of credit cards;Education;Car loans
"Bad";36.219819;"Medium";"5 or more";"College";"More than 2"
"Bad";21.989533;"Medium";"5 or more";"College";"More than 2"
"Bad";29.169670;"Low";"5 or more";"High school";"More than 2"
"Bad";32.752569;"Low";"5 or more";"College";"None or 1"
"Bad";36.770582;"Medium";"5 or more";"College";"More than 2"
"Bad";39.324885;"Medium";"5 or more";"College";"More than 2"
"Bad";31.699438;"Medium";"5 or more";"College";"More than 2"
"Bad";34.717905;"Low";"5 or more";"High school";"More than 2"
"Bad";31.531461;"Low";"5 or more";"High school";"More than 2"
"Bad";24.779970;"Medium";"5 or more";"College";"More than 2"
"Bad";22.762680;"Low";"5 or more";"College";"More than 2"
"Bad";45.965766;"Low";"5 or more";"High school";"More than 2"
"Bad";29.386049;"Medium";"5 or more";"High school";"More than 2"
"Bad";29.214660;"Low";"5 or more";"College";"None or 1"
"Bad";39.603368;"Low";"5 or more";"High school";"More than 2"
"Bad";39.455952;"Low";"5 or more";"College";"More than 2"
"Bad";34.127250;"Low";"5 or more";"College";"More than 2"
"Bad";35.817926;"Medium";"5 or more";"College";"More than 2"
"Bad";35.965569;"Medium";"5 or more";"College";"More than 2"
"Bad";26.263078;"High";"5 or more";"College";"More than 2"
"Bad";21.518675;"Low";"5 or more";"College";"More than 2"
"Bad";29.232315;"Medium";"5 or more";"High school";"More than 2"
"Bad";22.944392;"Low";"5 or more";"College";"More than 2"
"Bad";43.415145;"Medium";"5 or more";"College";"More than 2"
"Bad";20.160660;"Medium";"5 or more";"High school";"More than 2"
"Bad";27.984489;"Medium";"5 or more";"High school";"More than 2"
"Bad";29.490189;"Medium";"5 or more";"College";"More than 2"
"Bad";30.115777;"Medium";"5 or more";"High school";"More than 2"
"Bad";25.430951;"Medium";"5 or more";"College";"More than 2"
"Bad";40.185457;"Low";"5 or more";"College";"None or 1"
"Bad";20.521144;"Low";"5 or more";"College";"More than 2"
"Bad";22.758438;"Low";"5 or more";"High school";"More than 2"
