room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
13784347,1482,38819205,Shared room,,Nice,,LA,20,4.5,4,1,,74,,11:06.3,43.703948,7.265216,0101000020E6100000F58079C8940F1D40D40AD3F71ADA4540
13460193,1482,76927568,Shared room,,Nice,,IY,0,0,3,1,,42,,11:03.5,43.700883,7.288026,0101000020E61000003E97A949F0261D4043A9BD88B6D94540
1872832,1482,8295093,Shared room,,Nice,,LO,0,0,2,1,,144,,10:55.4,43.713394,7.262047,0101000020E6100000450F7C0C560C1D40D1949D7E50DB4540
4458622,1482,23135917,Shared room,,Nice,,MH,1,0,5,1,,121,,10:54.4,43.705259,7.251931,0101000020E6100000F1643733FA011D40D61A4AED45DA4540
13611934,1482,67756234,Shared room,,Nice,,LC,0,0,2,1,,88,,10:53.1,43.700722,7.268519,0101000020E6100000236B0DA5F6121D403ACB2C42B1D94540
19520166,1482,137088156,Shared room,,Nice,,KV,1,0,4,1,,84,,10:53.1,43.695891,7.262542,0101000020E6100000444E5FCFD70C1D40564ACFF412D94540
15930086,1482,18680087,Shared room,,Nice,,KW,2,0,2,1,,83,,10:53.1,43.695022,7.250665,0101000020E6100000E2016553AE001D4011001C7BF6D84540
13387336,1482,69329981,Shared room,,Nice,,AT,0,0,2,1,,78,,10:52.2,43.673019,7.19052,0101000020E610000089EFC4AC17C31C40164B917C25D64540
13487797,1482,69381269,Shared room,,Nice,,OE,0,0,1,1,,72,,10:52.2,43.678415,7.207622,0101000020E61000006FB88FDC9AD41C40D40E7F4DD6D64540
13557421,1482,77878428,Shared room,,Nice,,MI,0,0,2,1,,78,,10:52.1,43.70157,7.250115,0101000020E6100000C7F484251E001D4067EDB60BCDD94540
6150655,1482,31636499,Shared room,,Nice,,IZ,6,5,4,1,,71,,10:52.1,43.698378,7.293363,0101000020E6100000016DAB59672C1D40791F477364D94540
13917967,1482,82514467,Shared room,,Nice,,LS,1,0,2,1,,66,,10:52.1,43.710661,7.262877,0101000020E61000007C7BD7A02F0D1D4076C58CF0F6DA4540
18944807,1482,8277299,Shared room,,Nice,,LB,0,0,2,1,,70,,10:52.1,43.705123,7.270364,0101000020E61000001F10E84CDA141D402654707841DA4540
18972750,1482,76105846,Shared room,,Nice,,KO,0,0,2,1,,72,,10:52.1,43.700281,7.284473,0101000020E61000004A61DEE34C231D404D81CCCEA2D94540
3887390,1482,20107369,Shared room,,Nice,,LO,2,0,2,1,,61,,10:50.5,43.711844,7.260125,0101000020E6100000EE7C3F355E0A1D404AED45B41DDB4540
4243077,1482,22018058,Shared room,,Nice,,IW,2,0,2,1,,48,,10:50.5,43.706045,7.282866,0101000020E6100000F299EC9FA7211D408E40BCAE5FDA4540
7551680,1482,32167550,Shared room,,Nice,,IX,0,0,2,1,,48,,10:50.5,43.705067,7.283124,0101000020E6100000CFD90242EB211D40923EADA23FDA4540
2729778,1482,5099496,Shared room,,Nice,,OB,15,5,2,1,,42,,10:50.5,43.67053,7.20704,0101000020E6100000F9DA334B02D41C40527E52EDD3D54540
19159082,1482,39594113,Shared room,,Nice,,AV,1,0,2,1,,42,,10:50.5,43.707166,7.304409,0101000020E6100000A86E2EFEB6371D40EC6B5D6A84DA4540
18584139,1482,129033080,Shared room,,Nice,,LS,0,0,2,1,,42,,10:50.5,43.707977,7.267017,0101000020E610000075E789E76C111D40FCA886FD9EDA4540
11833115,1482,35345455,Shared room,,Nice,,MS,0,0,1,1,,52,,10:50.5,43.702536,7.234315,0101000020E610000055D97745F0EF1C409F211CB3ECD94540
3888016,1482,20107369,Shared room,,Nice,,LO,10,4.5,2,1,,61,,10:50.5,43.710464,7.259949,0101000020E6100000F9821612300A1D40207EFE7BF0DA4540
18603117,1482,129198067,Shared room,,Nice,,LS,2,0,3,1,,55,,10:50.5,43.707517,7.267747,0101000020E6100000906802452C121D40992EC4EA8FDA4540
18646109,1482,16486603,Shared room,,Nice,,LC,4,4.5,1,1,,42,,10:50.5,43.700336,7.273795,0101000020E6100000B83B6BB75D181D40111B2C9CA4D94540
18469791,1482,45968869,Shared room,,Nice,,KW,15,5,2,1,,31,,10:49.3,43.697208,7.252397,0101000020E61000001E6FF25B74021D403A419B1C3ED94540
3481966,1482,8009808,Shared room,,Nice,,LB,47,3.5,2,1,,31,,10:49.3,43.703912,7.268839,0101000020E6100000B08EE3874A131D4088A1D5C919DA4540
6051239,1482,247308,Shared room,,Nice,,KM,20,4,1,1,,35,,10:48.1,43.697098,7.286911,0101000020E61000005C7347FFCB251D40B20DDC813AD94540
12956943,1482,3244976,Shared room,,Nice,,IX,65,5,4,1,,22,,10:48.1,43.70347,7.284155,0101000020E6100000C2FA3F87F9221D40CBDB114E0BDA4540
19070095,1482,8276890,Shared room,,Nice,,LO,2,0,2,1,,40,,10:48.1,43.715145,7.259695,0101000020E610000027BD6F7CED091D40EF7211DF89DB4540
7737396,1482,1931377,Shared room,,Nice,,LA,0,0,10,1,,36,,10:48.0,43.701585,7.266655,0101000020E6100000704221020E111D409D2E8B89CDD94540
12431635,1482,66583593,Shared room,,Nice,,LT,19,4.5,2,1,,22,,10:48.0,43.708629,7.257165,0101000020E61000000FB4024356071D40A4FFE55AB4DA4540
10014052,1482,51429208,Shared room,,Nice,,LV,0,0,3,1,,24,,10:48.0,43.71008,7.256527,0101000020E6100000FA298E03AF061D4097C5C4E6E3DA4540
11537804,1482,60868228,Shared room,,Nice,,EZ,34,4.5,2,1,,33,,10:48.0,43.73017,7.267564,0101000020E61000000859164CFC111D409A42E73576DD4540
9937256,1482,51070593,Shared room,,Nice,,KL,0,0,1,1,,36,,10:48.0,43.694555,7.29127,0101000020E61000004339D1AE422A1D40FB22A12DE7D84540
13736526,1482,77655926,Shared room,,Nice,,KR,0,0,2,1,,36,,10:48.0,43.696912,7.275099,0101000020E610000033A6608DB3191D405018946934D94540
16744125,1482,27192492,Shared room,,Nice,,HD,0,0,1,1,,19,,10:48.0,43.721353,7.283185,0101000020E6100000FCDEA63FFB211D408DEF8B4B55DC4540
6051761,1482,247308,Shared room,,Nice,,KM,27,4.5,1,1,,35,,10:48.0,43.697551,7.286368,0101000020E6100000D57B2AA73D251D406325E65949D94540
12897598,1482,3244976,Shared room,,Nice,,KO,57,5,6,1,,22,,10:48.0,43.701593,7.282187,0101000020E6100000E86C01A1F5201D40200DA7CCCDD94540
13775173,1482,38819205,Shared room,,Nice,,LB,3,4.5,4,1,,30,,10:48.0,43.704838,7.266194,0101000020E6100000D190F12895101D40317DAF2138DA4540
6981616,1482,36607449,Shared room,,Nice,,LE,11,4.5,2,1,,30,,10:48.0,43.707299,7.270348,0101000020E6100000F2272A1BD6141D402BBF0CC688DA4540
5545115,1482,14955057,Shared room,,Nice,,KY,5,4.5,1,1,,29,,10:48.0,43.701244,7.258063,0101000020E6100000083BC5AA41081D401442075DC2D94540
11403739,1482,13515181,Shared room,,Nice,,LO,0,0,4,1,,19,,10:48.0,43.711519,7.261116,0101000020E61000006FD921FE610B1D40C7BDF90D13DB4540
12534037,1482,31810547,Shared room,,Nice,,KO,29,5,2,1,,34,,10:48.0,43.699225,7.287232,0101000020E61000006D75392520261D40D6C56D3480D94540
8286001,1482,43688853,Shared room,,Nice,,NH,1,0,2,1,,36,,10:48.0,43.683059,7.230257,0101000020E610000046B3B27DC8EB1C40861E317A6ED74540
4059809,1482,21056384,Shared room,,Nice,,EH,20,4.5,16,1,,35,,10:46.0,43.728483,7.25531,0101000020E6100000F65D11FC6F051D40925852EE3EDD4540
19110348,1482,6797744,Shared room,,Nice,,KV,0,0,1,1,,27,,10:46.0,43.695978,7.260074,0101000020E6100000DD28B2D6500A1D40245E9ECE15D94540
10817245,1482,46377384,Shared room,,Nice,,LC,70,4.5,4,1,,35,,10:46.0,43.69892,7.271126,0101000020E61000009561DC0DA2151D409A42E73576D94540
10381135,1482,39537358,Shared room,,Nice,,LC,64,4.5,16,1,,35,,10:46.0,43.699122,7.273468,0101000020E61000009702D2FE07181D4002F566D47CD94540
9123462,1482,40973483,Shared room,,Nice,,MP,16,4.5,1,1,,16,,10:46.0,43.692269,7.242111,0101000020E6100000E7012CF2EBF71C406F8445459CD84540
18836767,1482,8276890,Shared room,,Nice,,LO,2,0,2,1,,40,,10:46.0,43.715001,7.260103,0101000020E6100000AF5DDA70580A1D40BCCD1B2785DB4540
10574405,1482,54512800,Shared room,,Nice,,ED,13,4.5,2,1,,24,,10:46.0,43.720232,7.25222,0101000020E6100000A796ADF545021D402FC4EA8F30DC4540
12909244,1482,31377101,Shared room,,Nice,,LT,17,5,2,1,,14,,10:46.0,43.709785,7.256552,0101000020E6100000C1E44691B5061D407E18213CDADA4540
6050909,1482,247308,Shared room,,Nice,,KL,42,4.5,1,1,,35,,10:46.0,43.697708,7.287869,0101000020E6100000FF209221C7261D402B14E97E4ED94540
8129881,1482,17274313,Shared room,,Nice,,AR,6,4.5,3,1,,22,,10:46.0,43.704764,7.309017,0101000020E6100000D3A1D3F36E3C1D40F6B2EDB435DA4540
17667785,1482,119293606,Shared room,,Nice,,LA,2,0,16,1,,30,,10:46.0,43.702848,7.263349,0101000020E6100000BABC395CAB0D1D408E075BECF6D94540
12975319,1482,3244976,Shared room,,Nice,,KO,71,5,3,1,,22,,10:46.0,43.701752,7.282216,0101000020E6100000BAA1293BFD201D4088F37002D3D94540
7632181,1482,40037857,Shared room,,Nice,,KT,12,4.5,1,1,,22,,10:46.0,43.695297,7.264042,0101000020E6100000EC14AB06610E1D40E200FA7DFFD84540
19588716,1482,137300988,Shared room,,Nice,,NX,4,4.5,8,1,,36,,10:46.0,43.671224,7.223206,0101000020E61000007B15191D90E41C40292504ABEAD54540
16421259,1482,6601160,Shared room,,Nice,,LC,28,4.5,6,1,,35,,10:45.9,43.698664,7.272524,0101000020E61000001B800D8810171D403F726BD26DD94540
9168577,1482,35644638,Shared room,,Nice,,KY,0,0,1,1,,24,,10:45.9,43.700858,7.256308,0101000020E61000000BD0B69A75061D40EA9106B7B5D94540
6479184,1482,25879988,Shared room,,Nice,,LW,12,5,1,1,,29,,10:45.9,43.710257,7.251199,0101000020E6100000D026874F3A011D40A6608DB3E9DA4540
13757627,1482,7168051,Shared room,,Nice,,KI,3,4.5,2,1,,33,,10:44.3,43.693644,7.294484,0101000020E6100000F3C7B4368D2D1D4087889B53C9D84540
19196773,1482,134289430,Shared room,,Nice,,KR,9,5,2,1,,37,,10:44.3,43.696359,7.277351,0101000020E6100000350D8AE6011C1D403CA3AD4A22D94540
14531593,1482,35649013,Shared room,,Nice,,EB,24,4.5,2,1,,24,,10:44.3,43.718247,7.256202,0101000020E6100000DEAD2CD159061D409DB98784EFDB4540
19858936,1482,57771922,Shared room,,Nice,,LS,3,4.5,6,1,,36,,10:44.3,43.711068,7.264552,0101000020E6100000965D30B8E60E1D40B69DB64604DB4540
19918452,1482,39537358,Shared room,,Nice,,LC,0,0,6,1,,35,,10:44.3,43.699148,7.271146,0101000020E6100000CEC3094CA7151D402B8881AE7DD94540
